 0.000 &     0.0000 &      0.0000 &      0.0000 \\ 
 0.025 &     0.2250 &      0.1795 &      0.1911 \\ 
 0.050 &     0.3203 &      0.2556 &      0.2720 \\ 
 0.075 &     0.3949 &      0.3151 &      0.3354 \\ 
 0.100 &     0.4590 &      0.3663 &      0.3899 \\ 
 0.125 &     0.5168 &      0.4123 &      0.4389 \\ 
 0.150 &     0.5701 &      0.4549 &      0.4842 \\ 
 0.175 &     0.6203 &      0.4949 &      0.5268 \\ 
 0.200 &     0.6680 &      0.5330 &      0.5674 \\ 
 0.225 &     0.7140 &      0.5697 &      0.6064 \\ 
 0.250 &     0.7585 &      0.6052 &      0.6442 \\ 
 0.275 &     0.8020 &      0.6399 &      0.6811 \\ 
 0.300 &     0.8446 &      0.6739 &      0.7173 \\ 
 0.325 &     0.8866 &      0.7074 &      0.7530 \\ 
 0.350 &     0.9282 &      0.7406 &      0.7883 \\ 
 0.375 &     0.9695 &      0.7736 &      0.8235 \\ 
 0.400 &     1.0108 &      0.8065 &      0.8585 \\ 
 0.425 &     1.0520 &      0.8394 &      0.8935 \\ 
 0.450 &     1.0935 &      0.8725 &      0.9287 \\ 
 0.475 &     1.1352 &      0.9058 &      0.9642 \\ 
 0.500 &     1.1774 &      0.9394 &      1.0000 \\ 
 0.525 &     1.2202 &      0.9736 &      1.0363 \\ 
 0.550 &     1.2637 &      1.0083 &      1.0733 \\ 
 0.575 &     1.3082 &      1.0438 &      1.1111 \\ 
 0.600 &     1.3537 &      1.0801 &      1.1498 \\ 
 0.625 &     1.4006 &      1.1175 &      1.1896 \\ 
 0.650 &     1.4490 &      1.1561 &      1.2307 \\ 
 0.675 &     1.4993 &      1.1963 &      1.2734 \\ 
 0.700 &     1.5518 &      1.2381 &      1.3179 \\ 
 0.725 &     1.6069 &      1.2821 &      1.3647 \\ 
 0.750 &     1.6651 &      1.3286 &      1.4142 \\ 
 0.775 &     1.7272 &      1.3781 &      1.4670 \\ 
 0.800 &     1.7941 &      1.4315 &      1.5238 \\ 
 0.825 &     1.8671 &      1.4897 &      1.5857 \\ 
 0.850 &     1.9479 &      1.5542 &      1.6544 \\ 
 0.875 &     2.0393 &      1.6272 &      1.7321 \\ 
 0.900 &     2.1460 &      1.7122 &      1.8226 \\ 
 0.925 &     2.2761 &      1.8160 &      1.9331 \\ 
 0.950 &     2.4477 &      1.9530 &      2.0789 \\ 
 0.975 &     2.7162 &      2.1672 &      2.3069 \\ 
 0.990 &     3.0349 &      2.4215 &      2.5776 \\ 
