     0.0 &     0.0000 &     0.0000 &     0.0000 \\ 
     0.1 &     0.0050 &     0.0078 &     0.0069 \\ 
     0.2 &     0.0198 &     0.0309 &     0.0273 \\ 
     0.3 &     0.0440 &     0.0682 &     0.0605 \\ 
     0.4 &     0.0769 &     0.1181 &     0.1050 \\ 
     0.5 &     0.1175 &     0.1783 &     0.1591 \\ 
     0.6 &     0.1647 &     0.2463 &     0.2208 \\ 
     0.7 &     0.2173 &     0.3194 &     0.2880 \\ 
     0.8 &     0.2739 &     0.3951 &     0.3583 \\ 
     0.9 &     0.3330 &     0.4707 &     0.4296 \\ 
     1.0 &     0.3935 &     0.5441 &     0.5000 \\ 
     1.1 &     0.4539 &     0.6134 &     0.5677 \\ 
     1.2 &     0.5132 &     0.6773 &     0.6314 \\ 
     1.3 &     0.5704 &     0.7348 &     0.6901 \\ 
     1.4 &     0.6247 &     0.7855 &     0.7430 \\ 
     1.5 &     0.6753 &     0.8292 &     0.7898 \\ 
     1.6 &     0.7220 &     0.8661 &     0.8304 \\ 
     1.7 &     0.7643 &     0.8967 &     0.8651 \\ 
     1.8 &     0.8021 &     0.9215 &     0.8942 \\ 
     1.9 &     0.8355 &     0.9413 &     0.9181 \\ 
     2.0 &     0.8647 &     0.9568 &     0.9375 \\ 
     2.1 &     0.8897 &     0.9687 &     0.9530 \\ 
     2.2 &     0.9111 &     0.9777 &     0.9651 \\ 
     2.3 &     0.9290 &     0.9843 &     0.9744 \\ 
     2.4 &     0.9439 &     0.9892 &     0.9815 \\ 
     2.5 &     0.9561 &     0.9926 &     0.9869 \\ 
     2.6 &     0.9660 &     0.9951 &     0.9908 \\ 
     2.7 &     0.9739 &     0.9967 &     0.9936 \\ 
     2.8 &     0.9802 &     0.9979 &     0.9956 \\ 
     2.9 &     0.9851 &     0.9986 &     0.9971 \\ 
     3.0 &     0.9889 &     0.9991 &     0.9980 \\ 
     3.1 &     0.9918 &     0.9995 &     0.9987 \\ 
     3.2 &     0.9940 &     0.9997 &     0.9992 \\ 
     3.3 &     0.9957 &     0.9998 &     0.9995 \\ 
     3.4 &     0.9969 &     0.9999 &     0.9997 \\ 
     3.5 &     0.9978 &     0.9999 &     0.9998 \\ 
     3.6 &     0.9985 &     1.0000 &     0.9999 \\ 
     3.7 &     0.9989 &     1.0000 &     0.9999 \\ 
     3.8 &     0.9993 &     1.0000 &     1.0000 \\ 
     3.9 &     0.9995 &     1.0000 &     1.0000 \\ 
     4.0 &     0.9997 &     1.0000 &     1.0000 \\ 
