 0.000 &     0.0000 &      0.0000 &      0.0000 \\ 
 0.025 &     0.0313 &      0.0393 &      0.0465 \\ 
 0.050 &     0.0627 &      0.0786 &      0.0930 \\ 
 0.075 &     0.0941 &      0.1180 &      0.1396 \\ 
 0.100 &     0.1257 &      0.1575 &      0.1863 \\ 
 0.125 &     0.1573 &      0.1972 &      0.2332 \\ 
 0.150 &     0.1891 &      0.2370 &      0.2804 \\ 
 0.175 &     0.2211 &      0.2771 &      0.3278 \\ 
 0.200 &     0.2533 &      0.3175 &      0.3756 \\ 
 0.225 &     0.2858 &      0.3582 &      0.4238 \\ 
 0.250 &     0.3186 &      0.3994 &      0.4724 \\ 
 0.275 &     0.3518 &      0.4409 &      0.5216 \\ 
 0.300 &     0.3853 &      0.4829 &      0.5713 \\ 
 0.325 &     0.4193 &      0.5255 &      0.6216 \\ 
 0.350 &     0.4538 &      0.5687 &      0.6727 \\ 
 0.375 &     0.4888 &      0.6126 &      0.7247 \\ 
 0.400 &     0.5244 &      0.6572 &      0.7775 \\ 
 0.425 &     0.5607 &      0.7027 &      0.8313 \\ 
 0.450 &     0.5978 &      0.7492 &      0.8862 \\ 
 0.475 &     0.6357 &      0.7967 &      0.9424 \\ 
 0.500 &     0.6745 &      0.8453 &      1.0000 \\ 
 0.525 &     0.7144 &      0.8953 &      1.0591 \\ 
 0.550 &     0.7554 &      0.9468 &      1.1200 \\ 
 0.575 &     0.7978 &      0.9999 &      1.1828 \\ 
 0.600 &     0.8416 &      1.0548 &      1.2478 \\ 
 0.625 &     0.8871 &      1.1119 &      1.3153 \\ 
 0.650 &     0.9346 &      1.1713 &      1.3856 \\ 
 0.675 &     0.9842 &      1.2336 &      1.4592 \\ 
 0.700 &     1.0364 &      1.2990 &      1.5366 \\ 
 0.725 &     1.0916 &      1.3681 &      1.6184 \\ 
 0.750 &     1.1503 &      1.4417 &      1.7055 \\ 
 0.775 &     1.2133 &      1.5207 &      1.7989 \\ 
 0.800 &     1.2816 &      1.6062 &      1.9000 \\ 
 0.825 &     1.3563 &      1.6999 &      2.0109 \\ 
 0.850 &     1.4395 &      1.8042 &      2.1343 \\ 
 0.875 &     1.5341 &      1.9227 &      2.2745 \\ 
 0.900 &     1.6449 &      2.0615 &      2.4387 \\ 
 0.925 &     1.7805 &      2.2315 &      2.6397 \\ 
 0.950 &     1.9600 &      2.4565 &      2.9058 \\ 
 0.975 &     2.2414 &      2.8092 &      3.3231 \\ 
 0.990 &     2.5758 &      3.2283 &      3.8189 \\ 
