     0.0 &     0.0000 &     0.0000 &     0.0000 \\ 
     0.1 &     0.0797 &     0.0636 &     0.0538 \\ 
     0.2 &     0.1585 &     0.1268 &     0.1073 \\ 
     0.3 &     0.2358 &     0.1892 &     0.1604 \\ 
     0.4 &     0.3108 &     0.2504 &     0.2127 \\ 
     0.5 &     0.3829 &     0.3101 &     0.2641 \\ 
     0.6 &     0.4515 &     0.3679 &     0.3143 \\ 
     0.7 &     0.5161 &     0.4235 &     0.3632 \\ 
     0.8 &     0.5763 &     0.4767 &     0.4105 \\ 
     0.9 &     0.6319 &     0.5273 &     0.4562 \\ 
     1.0 &     0.6827 &     0.5751 &     0.5000 \\ 
     1.1 &     0.7287 &     0.6199 &     0.5419 \\ 
     1.2 &     0.7699 &     0.6617 &     0.5817 \\ 
     1.3 &     0.8064 &     0.7004 &     0.6194 \\ 
     1.4 &     0.8385 &     0.7360 &     0.6550 \\ 
     1.5 &     0.8664 &     0.7686 &     0.6883 \\ 
     1.6 &     0.8904 &     0.7983 &     0.7195 \\ 
     1.7 &     0.9109 &     0.8250 &     0.7485 \\ 
     1.8 &     0.9281 &     0.8491 &     0.7753 \\ 
     1.9 &     0.9426 &     0.8705 &     0.8000 \\ 
     2.0 &     0.9545 &     0.8895 &     0.8227 \\ 
     2.1 &     0.9643 &     0.9062 &     0.8433 \\ 
     2.2 &     0.9722 &     0.9208 &     0.8622 \\ 
     2.3 &     0.9786 &     0.9335 &     0.8792 \\ 
     2.4 &     0.9836 &     0.9445 &     0.8945 \\ 
     2.5 &     0.9876 &     0.9539 &     0.9082 \\ 
     2.6 &     0.9907 &     0.9620 &     0.9205 \\ 
     2.7 &     0.9931 &     0.9688 &     0.9314 \\ 
     2.8 &     0.9949 &     0.9745 &     0.9411 \\ 
     2.9 &     0.9963 &     0.9793 &     0.9495 \\ 
     3.0 &     0.9973 &     0.9833 &     0.9570 \\ 
     3.1 &     0.9981 &     0.9866 &     0.9635 \\ 
     3.2 &     0.9986 &     0.9893 &     0.9691 \\ 
     3.3 &     0.9990 &     0.9915 &     0.9740 \\ 
     3.4 &     0.9993 &     0.9933 &     0.9782 \\ 
     3.5 &     0.9995 &     0.9948 &     0.9818 \\ 
     3.6 &     0.9997 &     0.9959 &     0.9848 \\ 
     3.7 &     0.9998 &     0.9968 &     0.9874 \\ 
     3.8 &     0.9999 &     0.9976 &     0.9896 \\ 
     3.9 &     0.9999 &     0.9981 &     0.9915 \\ 
     4.0 &     0.9999 &     0.9986 &     0.9930 \\ 
