 0.000 &     0.0000 &      0.0000 &      0.0000 \\ 
 0.025 &     0.4645 &      0.2911 &      0.3020 \\ 
 0.050 &     0.5931 &      0.3717 &      0.3856 \\ 
 0.075 &     0.6870 &      0.4305 &      0.4466 \\ 
 0.100 &     0.7644 &      0.4790 &      0.4970 \\ 
 0.125 &     0.8321 &      0.5214 &      0.5409 \\ 
 0.150 &     0.8932 &      0.5597 &      0.5807 \\ 
 0.175 &     0.9496 &      0.5951 &      0.6174 \\ 
 0.200 &     1.0026 &      0.6283 &      0.6518 \\ 
 0.225 &     1.0529 &      0.6598 &      0.6845 \\ 
 0.250 &     1.1012 &      0.6900 &      0.7159 \\ 
 0.275 &     1.1478 &      0.7193 &      0.7462 \\ 
 0.300 &     1.1932 &      0.7477 &      0.7757 \\ 
 0.325 &     1.2377 &      0.7756 &      0.8046 \\ 
 0.350 &     1.2812 &      0.8029 &      0.8330 \\ 
 0.375 &     1.3244 &      0.8299 &      0.8610 \\ 
 0.400 &     1.3672 &      0.8568 &      0.8888 \\ 
 0.425 &     1.4098 &      0.8835 &      0.9165 \\ 
 0.450 &     1.4524 &      0.9102 &      0.9442 \\ 
 0.475 &     1.4951 &      0.9369 &      0.9720 \\ 
 0.500 &     1.5382 &      0.9639 &      1.0000 \\ 
 0.525 &     1.5817 &      0.9912 &      1.0283 \\ 
 0.550 &     1.6257 &      1.0188 &      1.0569 \\ 
 0.575 &     1.6706 &      1.0469 &      1.0861 \\ 
 0.600 &     1.7164 &      1.0756 &      1.1159 \\ 
 0.625 &     1.7635 &      1.1051 &      1.1465 \\ 
 0.650 &     1.8119 &      1.1355 &      1.1780 \\ 
 0.675 &     1.8621 &      1.1669 &      1.2106 \\ 
 0.700 &     1.9144 &      1.1997 &      1.2446 \\ 
 0.725 &     1.9691 &      1.2340 &      1.2802 \\ 
 0.750 &     2.0269 &      1.2702 &      1.3177 \\ 
 0.775 &     2.0884 &      1.3087 &      1.3577 \\ 
 0.800 &     2.1544 &      1.3501 &      1.4007 \\ 
 0.825 &     2.2264 &      1.3952 &      1.4474 \\ 
 0.850 &     2.3059 &      1.4450 &      1.4991 \\ 
 0.875 &     2.3957 &      1.5013 &      1.5575 \\ 
 0.900 &     2.5003 &      1.5668 &      1.6255 \\ 
 0.925 &     2.6277 &      1.6466 &      1.7083 \\ 
 0.950 &     2.7955 &      1.7518 &      1.8174 \\ 
 0.975 &     3.0575 &      1.9160 &      1.9878 \\ 
 0.990 &     3.3682 &      2.1107 &      2.1897 \\ 
