     0.0 &     0.0000 &     0.0000 &     0.0000 \\ 
     0.1 &     0.0003 &     0.0011 &     0.0010 \\ 
     0.2 &     0.0021 &     0.0084 &     0.0075 \\ 
     0.3 &     0.0070 &     0.0273 &     0.0245 \\ 
     0.4 &     0.0162 &     0.0613 &     0.0554 \\ 
     0.5 &     0.0309 &     0.1120 &     0.1016 \\ 
     0.6 &     0.0516 &     0.1786 &     0.1629 \\ 
     0.7 &     0.0789 &     0.2584 &     0.2372 \\ 
     0.8 &     0.1128 &     0.3473 &     0.3210 \\ 
     0.9 &     0.1529 &     0.4405 &     0.4101 \\ 
     1.0 &     0.1987 &     0.5331 &     0.5000 \\ 
     1.1 &     0.2494 &     0.6207 &     0.5867 \\ 
     1.2 &     0.3038 &     0.7003 &     0.6670 \\ 
     1.3 &     0.3608 &     0.7695 &     0.7384 \\ 
     1.4 &     0.4192 &     0.8275 &     0.7996 \\ 
     1.5 &     0.4778 &     0.8745 &     0.8504 \\ 
     1.6 &     0.5355 &     0.9111 &     0.8911 \\ 
     1.7 &     0.5911 &     0.9387 &     0.9227 \\ 
     1.8 &     0.6439 &     0.9589 &     0.9466 \\ 
     1.9 &     0.6932 &     0.9732 &     0.9639 \\ 
     2.0 &     0.7385 &     0.9829 &     0.9763 \\ 
     2.1 &     0.7795 &     0.9895 &     0.9848 \\ 
     2.2 &     0.8161 &     0.9937 &     0.9905 \\ 
     2.3 &     0.8482 &     0.9963 &     0.9942 \\ 
     2.4 &     0.8761 &     0.9979 &     0.9965 \\ 
     2.5 &     0.8999 &     0.9988 &     0.9980 \\ 
     2.6 &     0.9200 &     0.9994 &     0.9989 \\ 
     2.7 &     0.9368 &     0.9997 &     0.9994 \\ 
     2.8 &     0.9506 &     0.9998 &     0.9997 \\ 
     2.9 &     0.9617 &     0.9999 &     0.9998 \\ 
     3.0 &     0.9707 &     1.0000 &     0.9999 \\ 
     3.1 &     0.9778 &     1.0000 &     1.0000 \\ 
     3.2 &     0.9834 &     1.0000 &     1.0000 \\ 
     3.3 &     0.9877 &     1.0000 &     1.0000 \\ 
     3.4 &     0.9909 &     1.0000 &     1.0000 \\ 
     3.5 &     0.9934 &     1.0000 &     1.0000 \\ 
     3.6 &     0.9953 &     1.0000 &     1.0000 \\ 
     3.7 &     0.9966 &     1.0000 &     1.0000 \\ 
     3.8 &     0.9976 &     1.0000 &     1.0000 \\ 
     3.9 &     0.9984 &     1.0000 &     1.0000 \\ 
     4.0 &     0.9989 &     1.0000 &     1.0000 \\ 
